user_query,expected_agents
"How is the business performing?","business"
"How much revenue did we generate?","business"
"Which product categories generate the most revenue?","business"
"Which states generate the most revenue?","business"
"Which sellers have the worst delivery performance?","operations"
"What is our cancellation rate?","operations"
"How much are we spending on freight?","operations"
"How often are orders delivered late?","operations"
"What are customers complaining about?","customer"
"What is our average customer review score?","customer"
"How does late delivery affect customer satisfaction?","customer|operations"
"Why did customer satisfaction decline when delivery performance got worse?","customer|operations"
"Were there unusual delivery anomalies?","risk"
"Which orders have the highest delivery risk?","risk"
"What method should we use to forecast future revenue?","risk"
"Are delivery problems causing negative customer reviews?","customer|operations"
"Did any unusual delivery patterns coincide with lower customer satisfaction?","customer|operations|risk"
"Which sellers should we investigate because of delivery problems?","operations"
"Are customer delivery complaints supported by operational evidence?","customer|operations"
"How are revenue trends and customer satisfaction changing?","business|customer"
